"ABN","Charity_Legal_Name","Other_Organisation_Names","Address_Type","Address_Line_1","Address_Line_2","Address_Line_3","Town_City","State","Postcode","Country","Charity_Website","Registration_Date","Date_Organisation_Established","Charity_Size","Number_of_Responsible_Persons","Financial_Year_End","Operates_in_ACT","Operates_in_NSW","Operates_in_NT","Operates_in_QLD","Operates_in_SA","Operates_in_TAS","Operates_in_VIC","Operates_in_WA","Operating_Countries","PBI","HPC","Preventing_or_relieving_suffering_of_animals","Advancing_Culture","Advancing_Education","Advancing_Health","Promote_or_oppose_a_change_to_law__government_poll_or_prac","Advancing_natual_environment","Promoting_or_protecting_human_rights","Purposes_beneficial_to_ther_general_public_and_other_analogous","Promoting_reconciliation__mutual_respect_and_tolerance","Advancing_Religion","Advancing_social_or_public_welfare","Advancing_security_or_safety_of_Australia_or_Australian_public","Aboriginal_or_TSI","Adults","Aged_Persons","Children","Communities_Overseas","Early_Childhood","Ethnic_Groups","Families","Females","Financially_Disadvantaged","Gay_Lesbian_Bisexual","General_Community_in_Australia","Males","Migrants_Refugees_or_Asylum_Seekers","Other_Beneficiaries","Other_Charities","People_at_risk_of_homelessness","People_with_Chronic_Illness","People_with_Disabilities","Pre_Post_Release_Offenders","Rural_Regional_Remote_Communities","Unemployed_Person","Veterans_or_their_families","Victims_of_crime","Victims_of_Disasters","Youth","Income","Person 1","Person 2","Person 3","Person 4","Person 5","Person 6","Person 7","Person 8","Person 9","Person 10","Person 11","Person 12","Person 13","Person 14","Person 15","Person 16","Person 17","Person 18","Person 19","Person 20","Person 21","Person 22","Person 23","Person 24","Person 25","Person 26","Person 27","Person 28","Person 29","Person 30"
71173019097,"The Trustee for BARWON HEALTH FOUNDATION",,"Business","283 Ryrie St",,,"Geelong","Victoria",3220,"Australia","www.barwonhealthfoundation.org.au","19/12/2014","19/12/2014","Large",13,"30-Jun",,,,,,,"Y",,,,,,,,"Y",,,,"Y",,,,,"Y","Y","Y","Y",,"Y","Y","Y","Y","Y","Y",,"Y","Y",,,"Y","Y","Y",,"Y",,"Y",,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71173062319,"Animal Management In Rural & Remote Indigenous Communities Ltd",,"Business","Gpo Box 4829",,,"Darwin","Northern Territory",801,"Australia","www.amrric.org","03/12/2012","01/01/2004","Large",10,"30-Jun",,,,,,,,,,,"Y",,,,,,,,,,,,,"Y",,,,,,,,,"Y",,"Y",,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71174672086,"National Spiritual Assembly Of The Baha'Is Of Aust Inc",,"Business","173 Mona Vale Road",,,"INGLESIDE","NSW",2101,"AUSTRALIA",,"03/12/2012","31/12/1956","Large",10,"31-Dec","Y","Y","Y","Y","Y","Y","Y","Y","ISR, PHL, TLS",,,,,,,,,,,,"Y",,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71174918661,"Infants Home Ashfield",,"Business","17 Henry St",,,"Ashfield","New South Wales",2131,"Australia","https://theinfantshome.org.au/","03/12/2012","15/05/1874","Large",11,"31-Dec",,"Y",,,,,,,,"Y",,,,,"Y",,,"Y","Y","Y",,"Y",,,,,,,"Y","Y","Y",,,,,,"Y",,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71177131171,"Inasmuch Community Limited",,"Business","18-26 Iverison Rd",,,"Sussex Inlet","New South Wales",2540,"Australia","www.inasmuch.org.au","03/12/2012","01/01/1991","Large",11,"30-Jun",,"Y",,,,,,,,"Y",,,,,"Y",,,,"Y",,,"Y",,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71192478796,"THE CO-OPERATIVE LIFE LIMITED",,"Business","Se 111 330 Wattle St",,,"Ultimo","New South Wales",2007,"Australia","https://www.lifecoop.com.au/","03/12/2012","18/06/2013","Large",5,"30-Jun",,"Y",,,,,,,,"Y",,,,,,,,,"Y",,,"Y",,"Y","Y","Y",,,,"Y",,"Y",,"Y",,"Y",,,,"Y",,"Y",,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71207917116,"Gasworks Arts Inc",,"Business","21 Graham St",,,"Albert Park","Victoria",3206,"Australia","www.gasworks.org.au","03/12/2012","01/01/1986","Large",13,"31-Dec",,,,,,,"Y",,,,,,,,,,,,,,,,,,"Y",,"Y",,"Y",,,"Y",,"Y","Y","Y",,,"Y",,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71212143177,"Russian Benevolent Association For Homes For The Aged",,"Business","18 Balham Rd",,,"Rocklea","Queensland",4106,"Australia","www.pinelodgehome.com.au","03/12/2012","31/12/1964","Large",9,"30-Jun",,,,"Y",,,,,,"Y",,,,,,,,,,,,,,,,"Y",,,,"Y",,"Y","Y",,,"Y","Y",,,,"Y","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71240548149,"Explorability Inc",,"Business","U 1 9 Parkes St",,,"Cockburn Central","Western Australia",6164,"Australia","http://www.explorability.org.au","01/11/2015","01/11/2015","Large",9,"30-Jun",,,,,,,,"Y",,"Y",,,,,,,,"Y",,,,"Y",,"Y","Y",,"Y",,"Y","Y","Y",,"Y","Y",,,,,,"Y",,"Y",,"Y",,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71256484996,"The Association For Parent Controlled Christian Schools At Brisbane",,"Business","Westside Christian College",,,"Goodna","Queensland",4300,"Australia","www.wcc.qld.edu.au","03/12/2012","01/01/1987","Large",9,"31-Dec",,,,"Y",,,,,,,,,,"Y",,,,,,,,,,"Y",,,"Y",,"Y","Y","Y","Y","Y",,"Y","Y","Y",,,"Y","Y","Y",,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71267532317,"Ishar Multicultural Women's Health Services Incorporated",,"Business","Mirrabooka Public Library",,,"Mirrabooka","Western Australia",6061,"Australia","www.ishar.org.au","03/12/2012","01/01/1992","Large",7,"30-Jun",,,,,,,,"Y",,"Y",,,,,,,,,,,,,,,"Y","Y",,,,"Y","Y","Y",,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71281766571,"Kimberley Group Training Inc",,"Business",,,,,,,"Australia","http://www.kgt.org.au","03/12/2012","01/01/1997","Large",7,"30-Jun",,,,,,,,"Y",,"Y",,,,,,,,,,,,"Y",,"Y",,,,,,,,,"Y",,"Y",,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71294832195,"Geelong Maritime Museum Association Incorporated",,"Business","13 Conway St",,,"Dandenong","Victoria",3175,"Australia","www.ruscare.com.au","03/12/2012","01/01/1995","Large",3,"30-Jun",,,,,,,"Y",,,,,,,,,,,,,,,,,,,"Y",,,,"Y",,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71340769746,"The Trustee For Prince Alfred College Endowment Fund",,"Business","Po Box 2522",,,"Kent Town Dc","South Australia",5071,"Australia","www.pac.edu.au","03/12/2012","01/01/1981","Large",6,"31-Dec",,,,,"Y",,,,,,,,,"Y",,,,,,,,,,,,,"Y",,"Y",,,,,,,,,"Y",,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71364278922,"Mid Murray Homes For The Aged Incorporated",,"Business","Aminya Village","14 Adelaide Road",,"Mannum","South Australia",5238,"Australia","http://aminya.org.au/","03/12/2012","01/01/1990","Large",10,"30-Jun",,,,,"Y",,,,,"Y",,,,,,,,,,,,,,,,"Y",,,,,,"Y","Y",,,"Y",,,,"Y","Y","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71386192144,"Don Bosco Primary School Narre Warren",,"Business","496 Princes Hwy",,,"NARRE WARREN","VIC",3805,,"www.dbnarre.catholic.edu.au","03/12/2012","01/01/1982","Large",11,"31-Dec",,,,,,,"Y",,,,,,,"Y",,,,,,,"Y",,,,,,"Y",,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71424124816,"Fronditha Care",,"Business","16 Anzed Ct",,,"Mulgrave","Victoria",3170,"Australia","www.frondithacare.org.au","03/12/2012","01/01/1976","Large",9,"30-Jun",,"Y",,,,,"Y",,,"Y",,,,,,,,,,,,,,,"Y","Y",,,,"Y","Y",,"Y",,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
